number,borders,address,july,august,sept,links,rajon,country,difference
530557,"с.Старицьківка, с.Зоря, с.Олексіївка","пров.Шкільний, 8, с.Старицьківка, Машівський р-н, Полтавська обл., 39410 (Сільський будинок культури, актова зала)",196,203,219,!cm_core.cm_index?option=ext_dvk&pid100=53&pf5242=530557&prejim=1,Коломацька сільська громада,,11.734693877551
530558,"с.Рубанівка, с.Сонячне","вул.Сонячна, 1, с.Сонячне, Машівський р-н, Полтавська обл., 39410 (навчально-виховний комплекс, хол)",226,234,258,!cm_core.cm_index?option=ext_dvk&pid100=53&pf5242=530558&prejim=1,Коломацька сільська громада,,14.1592920353982
261028,"м.Яремче – вул.Героїв Майдану, вул.Гірська, вул.Івана Франка, вул.Лесі Українки, вул.Свободи: 280–280 к.А, 282, 284, 286–294/2, 298, 302, 304–318, 322–322 к.А, 324–444; пров.Гірський","вул.Свободи, 316, м.Яремче, Івано-Франківська обл., 78501 (школа №3, кімната здоров’я, 1-й поверх)",954,987,1063,!cm_core.cm_index?option=ext_dvk&pid100=26&pf5242=261028&prejim=1,Яремчанська міська громада,,11.4255765199161
800021,"м.Київ – вул.Левітана, пров.Левітана, просп.Науки: 59–78;","просп.Науки, 63, м.Київ, 03083 (бібліотека ім.М.Вовчка, читальний зал)",2274,1472,1485,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800021&prejim=1,м.Київ,,-34.6965699208443
800022,"м.Київ – вул.Академіка Кащенка, вул.Армійська, вул.Весняна, вул.Закарпатська, вул.Пирогівський шлях: 30–48; просп.Науки: 102–194А;","вул.Китаївська, 22, м.Київ, 03083 (школа №122, 1-й поверх, коридор)",2303,1882,1872,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800022&prejim=1,м.Київ,,-18.7147199305254
800301,м.Київ – вул.Закревського Миколи: 93А–95Г;,"вул.Милославська, 7, м.Київ, 02232 (школа №293, 1-й поверх, коридор басейн)",2489,2506,2200,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800301&prejim=1,м.Київ,,-11.611088790679
800343,"м.Київ – вул.Петра Вершигори: 3А–7, 9; просп.Романа Шухевича: 2Б;","вул.Райдужна, 12, м.Київ, 02218 (спеціалізована школа №234, рекреація, 2-й поверх)",2285,1814,1825,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800343&prejim=1,м.Київ,,-20.1312910284464
800344,"м.Київ – вул.Виноградна, вул.Лугова, вул.Монтажників, вул.Петра Вершигори: 7А, 9А; вул.Пілот, вул.Райдужна: 10, 14–16, 18, 20, 22; вул.Центральна, вул.1 Лінія, вул.200 Садова, вул.202 Садова, вул.205 Садова, вул.206 Садова, вул.206А Садова, вул.207 Садова, вул.208 Садова, вул.209 Садова, вул.213 Садова, вул.3 Лінія, вул.4 Лінія, просп.Романа Шухевича: 4Б;","вул.Райдужна, 12, м.Київ, 02218 (спеціалізована школа №234, рекреація, 1-й поверх)",2150,2411,2416,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800344&prejim=1,м.Київ,,12.3720930232558
800345,"м.Київ – вул.Райдужна: 2–2Б, 4–4А; просп.Романа Шухевича: 8А, 10А–14А;","вул.Райдужна, 12, м.Київ, 02218 (спеціалізована школа №234, фойє, 1-й поверх)",2113,2343,2337,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800345&prejim=1,м.Київ,,10.6010411736867
800350,"м.Київ – вул.Райдужна: 31–33, 41–43, 45–47;","вул.Райдужна, 53, м.Київ, 02218 (спеціалізована школа №265, коридор, права сторона, 2-й поверх)",2041,1094,1089,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800350&prejim=1,м.Київ,,-46.6438020578148
