id,title,img,museum,Название,Место создания,lon,lat,Датировка,Номер ГИМ,Отдел/коллекция,Размер,"Материал, техника",Инвентарный номер,Номер ГК,Ключевые слова,"Автор, мастер/Изготовитель",Выставки,Персоналии,Комплект,Предметный классификатор,Формат,"Лист, страницы",Шифр ОПИ,Историческое событие,Язык
153310,"Муз. печ. 706. Канонник, тип. Успенского м-ря. 1783 (7291)",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTQ5rwvHJjPyz-seC5MCsfQItuZvHS3QHwMOVSsf7ke8K.jpg?w=1000&h=1000,shm,Канонник,Почаев,,,1783,ГИМ 103432/440,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 706,28355499,,тип. Успенского м-ря,,,,Старопечатная книга,4°,,,,
153311,Муз. печ. 707. Правильник. Почаевская тип. Вторая половина XIX в.,https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTa3ZElhaUpTKN3fhLgmf2QAv_kt27bkIf1a5tqaSctGE.jpg?w=1000&h=1000,shm,Правильник,Почаев,,,XIX,ГИМ 103432/441,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 707,28355554,,Почаевская тип.,,,,Кириллическая книга,4°,,,,
153247,"Муз. печ. 716. Оглавление книг Священного Писания. Синопсис Афанасия, тип. лавры. 1755 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTS5K-7ZwYuFBMF-5NwKpKIsI9nACY6LK4jNK_Yz7sRl7.jpg?w=1000&h=1000,shm,Оглавление книг Священного Писания. Синопсис Афанасия,Киев,50.451313,30.514711,1755,ГИМ 103432/450,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 716,28355535,синопсис,тип. лавры,,,,Старопечатная книга,8°,,,,
168646,"Муз. печ. 724. Последование на день святыя Пасхи и на всю светлую седмицу, тип. лавры. Начало 1800-х гг.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTcYMViJLJsnF7IT3uLfVFnx19dlqHufAqtyXFEhqqFNG.jpg?w=1000&h=1000,shm,Последование на день святыя Пасхи и на всю светлую седмицу,Киев,50.451313,30.514711,1800,ГИМ 103432/458,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 724,28357619,Киев,тип. лавры,,,,Старопечатная книга,8°,,,,
153258,"Муз. печ. 731. Триодион (Трипесец), тип. лавры. 1761 (7269)",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTX5YlfyJ-6Q2eAt1qO33tmmr2F3X__64BcWopsrbwUe4.jpg?w=1000&h=1000,shm,Триодион (Трипесец),Киев,50.451313,30.514711,1761,ГИМ 103432/464,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 731,28355532,Киев,тип. лавры,,,,Старопечатная книга,2°,,,,
153261,"Муз. печ. 733. Псалтырь, тип. лавры. 18.IV.1728 (7236)",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTfiIVc-BanF_xn6Y6hR01I8X0FnpQtq4JLQ6uzLIdNpA.jpg?w=1000&h=1000,shm,Псалтырь,Киев,50.451313,30.514711,1728,ГИМ 103432/466,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 733,28355449,Киев,тип. лавры,,,,Старопечатная книга,2°,,,,
168653,"Муз. печ. 735. Жития святых, июнь-август. Димитрий Ростовский, тип. лавры. 1705 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTcly9fYyZcISP8MFH257kRKWTKHyASzbGD6F3OyzHisQ.jpg?w=1000&h=1000,shm,"Жития святых, июнь-август",Киев,50.451313,30.514711,1705,ГИМ 103432/468,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 735,28357610,житие,"Димитрий Ростовский, тип. лавры",,,,Старопечатная книга,2°,,,,
168654,"Муз. печ. 736. Жития святых, июль. Димитрий Ростовский, тип. лавры. 1705 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTbCwTltChR4_AEn0v20Lx5LiXfnZ8tbTFWqdHLZ63thd.jpg?w=1000&h=1000,shm,"Жития святых, июль",Киев,50.451313,30.514711,1705,ГИМ 103432/469,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 736,28357620,житие,"Димитрий Ростовский, тип. лавры",,,,Старопечатная книга,2°,,,,
152800,Муз. печ. 255. Часовник. Почаевская тип. - [тип. Карташевых]. 1810 г.,https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTVEvfl-RPoumhIqLhUEviKUgiq8KbQHziq89-jjtW1AS.jpg?w=1000&h=1000,shm,Часовник,Почаев,,,1810,ГИМ 103432/48,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 255,28353765,,Почаевская тип. - [тип. Карташевых],,,,Старопечатная книга,4°,,,,
168666,Муз. печ. 750. Начатки догматико-нравоучительного богословия. Старообрядческое издание [1771] г.,https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTWhUzjRq5_tcfMnFazVDyHtUPoF6jRzVVcgpDNp2ymPV.jpg?w=1000&h=1000,shm,Начатки догматико-нравоучительного богословия,[Почаев],,,1771,ГИМ 103432/485,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 750,30183632,,Старообрядческое издание,,,,Старопечатная книга,4°,,,,
