position,name,week_start,person_type
9,Емманюель Макрон,2022-11-21,enemy
10,Ігор Конашенков,2022-11-21,russian
1,Володимир Путін,2022-11-28,russian
2,Володимир Зеленський,2022-11-28,enemy
3,Джо Байден,2022-11-28,enemy
4,Дмитро Пєсков,2022-11-28,russian
5,Емманюель Макрон,2022-11-28,enemy
6,Єнс Столтенберг,2022-11-28,enemy
7,Урсула фон дер Ляйен,2022-11-28,enemy
8,Марія Захарова,2022-11-28,russian
9,Сергій Лавров,2022-11-28,russian
10,Андрій Марочко,2022-11-28,russian
1,Володимир Путін,2022-12-05,russian
2,Володимир Зеленський,2022-12-05,enemy
3,Дмитро Пєсков,2022-12-05,russian
4,Джо Байден,2022-12-05,enemy
5,Віктор Бут,2022-12-05,russian
6,Бріттні Грінер,2022-12-05,neutral
7,Емманюель Макрон,2022-12-05,enemy
8,Сергій Лавров,2022-12-05,russian
9,Марія Захарова,2022-12-05,russian
10,Ігор Конашенков,2022-12-05,russian
1,Володимир Путін,2022-12-12,russian
2,Володимир Зеленський,2022-12-12,enemy
3,Джо Байден,2022-12-12,enemy
4,Дмитро Пєсков,2022-12-12,russian
5,Марія Захарова,2022-12-12,russian
6,Денис Пушилін,2022-12-12,russian
7,Емманюель Макрон,2022-12-12,enemy
8,Жозеп Боррель,2022-12-12,enemy
9,Ігор Конашенков,2022-12-12,russian
10,Реджеп Ердоган,2022-12-12,friend
1,Володимир Путін,2022-12-19,russian
2,Володимир Зеленський,2022-12-19,enemy
3,Джо Байден,2022-12-19,enemy
4,Дмитро Пєсков,2022-12-19,russian
5,Сергій Шойгу,2022-12-19,russian
6,Олександр Лукашенко,2022-12-19,friend
7,Дмитро Рогозін,2022-12-19,russian
8,Денис Пушилін,2022-12-19,russian
9,Марія Захарова,2022-12-19,russian
10,Дмитро Медведєв,2022-12-19,russian
1,Володимир Путін,2022-12-26,russian
2,Володимир Зеленський,2022-12-26,enemy
3,Дмитро Пєсков,2022-12-26,russian
4,Джо Байден,2022-12-26,enemy
5,Сергій Лавров,2022-12-26,russian
6,Александар Вучич,2022-12-26,friend
7,Андрій Марочко,2022-12-26,russian
8,Дмитро Медведєв,2022-12-26,russian
9,Сі Цзіньпін,2022-12-26,friend
10,Сергій Шойгу,2022-12-26,russian
1,Володимир Путін,2023-01-02,russian
2,Володимир Зеленський,2023-01-02,enemy
3,Джо Байден,2023-01-02,enemy
4,Реджеп Ердоган,2023-01-02,friend
5,Сергій Шойгу,2023-01-02,russian
6,Емманюель Макрон,2023-01-02,enemy
7,Патріарх Кирил,2023-01-02,russian
8,Денис Пушилін,2023-01-02,russian
9,Дональд Трамп,2023-01-02,friend
10,Сергій Лавров,2023-01-02,russian
1,Володимир Зеленський,2023-01-09,enemy
2,Володимир Путін,2023-01-09,russian
3,Джо Байден,2023-01-09,enemy
4,Дмитро Пєсков,2023-01-09,russian
5,Денис Пушилін,2023-01-09,russian
6,Євген Пригожин,2023-01-09,russian
7,Ігор Конашенков,2023-01-09,russian
8,Марія Захарова,2023-01-09,russian
9,Реджеп Ердоган,2023-01-09,friend
10,Дональд Трамп,2023-01-09,friend
1,Володимир Путін,2023-01-16,russian
2,Володимир Зеленський,2023-01-16,enemy
3,Олаф Шольц,2023-01-16,enemy
4,Джо Байден,2023-01-16,enemy
5,Сергій Лавров,2023-01-16,russian
6,Дмитро Пєсков,2023-01-16,russian
7,Олексій Арестович,2023-01-16,enemy
8,Реджеп Ердоган,2023-01-16,friend
9,Борис Пісторіус,2023-01-16,enemy
10,Марія Захарова,2023-01-16,russian
1,Володимир Зеленський,2023-01-23,enemy
2,Володимир Путін,2023-01-23,russian
