"Rank","Artist","URL","freq"
81,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
85,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
2,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
19,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
32,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
43,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
48,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
52,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
61,"Nensi","https://www.youtube.com/watch?v=7ECJcEyWWeg",5
62,"Dzidzio","https://www.youtube.com/watch?v=9ICZ_LCkKDY",22
69,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
71,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
76,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
81,"Mozgi","https://www.youtube.com/watch?v=oVFwuyh6_XQ",34
82,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
97,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
18,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
20,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
30,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
36,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
37,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
46,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
54,"Open Kids","https://www.youtube.com/watch?v=lcmENCowMKc",2
76,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
77,"YARMAK","https://www.youtube.com/watch?v=hhq9HEdu99o",8
78,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
82,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
87,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
94,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
3,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
16,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
32,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
36,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
45,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
46,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
