"num","edrpou","name","name_short","link","sales_2019","profit_2019","sales_2018","profit_2018","difference","status","reg_date","kved","gov_share","fpg","percent_19","group","dir_2019_change","fillColor"
69,"12602750","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОНОТОПСЬКИЙ АВІАРЕМОНТНИЙ ЗАВОД ""АВІАКОН""","ДП ""КОНОТОПСЬКИЙ АВІАРЕМОНТНИЙ ЗАВОД ""АВІАКОН""","https://youcontrol.com.ua/search/?q=12602750",516.9,27.8,"722",49,-21.2,"noStop","1998-03-18","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",-43.265306122449,"1",0,"red"
70,"32735236","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОКУМЕНТ""","ДП ""ДОКУМЕНТ""","https://youcontrol.com.ua/search/?q=32735236",515.5,8.2,"536.2",37.3,-29.1,"noStop","2003-10-29","63.99 Надання інших інформаційних послуг, н. в. і. у.","NULL","-",-78.0160857908847,"1",0,"red"
71,"32087941","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МИРНОГРАДВУГІЛЛЯ""","ДП ""МИРНОГРАДВУГІЛЛЯ""","https://youcontrol.com.ua/search/?q=32087941",507.2,-454.1,"587.1",-348.1,-106,"noStop","2003-03-25","05.10 Добування кам'яного вугілля","NULL","-",-30.4510198218903,"1",0,"red"
72,"14310299","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКЕ КОНСТРУКТОРСЬКЕ БЮРО З МАШИНОБУДУВАННЯ ІМЕНІ О.О. МОРОЗОВА""","ХКБМ ім. О.О. МОРОЗОВА","https://youcontrol.com.ua/search/?q=14310299",496.5,-106.4,"475.9",0.7,-107.1,"noStop","1999-08-19","72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук","NULL","-",-15300,"4",1,"red"
73,"131050","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЄВЄРОДОНЕЦЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","ДП ""СЄВЄРОДОНЕЦЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","https://youcontrol.com.ua/search/?q=131050",493.7,-375.3,"633.5",-220.1,-155.2,"noStop","1998-06-24","35.11 Виробництво електроенергії","NULL","-",-70.513402998637,"1",0,"red"
74,"39787008","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНІ ІНФОРМАЦІЙНІ СИСТЕМИ""","ДП ""НАЦІОНАЛЬНІ ІНФОРМАЦІЙНІ СИСТЕМИ""","https://youcontrol.com.ua/search/?q=39787008",492.2,46,"424",49.8,-3.8,"noStop","2015-05-12","63.11 Оброблення даних, розміщення інформації на веб-вузлах і пов'язана з ними діяльність","NULL","-",-7.63052208835341,"1",1,"red"
75,"14281072","ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ""-""ДЕРЖАВНА ГОСПРОЗРАХУНКОВА ЗОВНІШНЬОТОРГОВЕЛЬНА ТА ІНВЕСТИЦІЙНА ФІРМА ""УКРІНМАШ""","УКРІНМАШ","https://youcontrol.com.ua/search/?q=14281072",483.3,5.9,"557.5",1.8,4.1,"noStop","1995-11-28","46.18 Діяльність посередників, що спеціалізуються в торгівлі іншими товарами","NULL","-",227.777777777778,"2",1,"green"
76,"30210163","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІЗЮМСЬКИЙ ПРИЛАДОБУДІВНИЙ ЗАВОД""","ДП ""ІЗЮМСЬКИЙ ПРИЛАДОБУДІВНИЙ ЗАВОД""","https://youcontrol.com.ua/search/?q=30210163",474.6,82.3,"324.4",40.5,41.8,"noStop","1998-10-21","26.70 Виробництво оптичних приладів і фотографічного устатковання","NULL","-",103.20987654321,"1",0,"green"
77,"22987900","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВАТОР""","ДП ""НОВАТОР""","https://youcontrol.com.ua/search/?q=22987900",470.6,24.3,"526.4",3.6,20.7,"noStop","2002-06-10","26.51 Виробництво інструментів і обладнання для вимірювання, дослідження та навігації","NULL","-",575,"2",1,"green"
78,"5471158","АКЦІОНЕРНЕ ТОВАРИСТВО ""ОДЕСЬКА  ТЕЦ""","АТ ""ОДЕСЬКА  ТЕЦ""","https://youcontrol.com.ua/search/?q=5471158",453.4,-53.5,"496.1",152.1,-205.6,"noStop","2001-08-31","35.11 Виробництво електроенергії","100","-",-135.17422748192,"1",1,"red"
79,"7756801","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОДЕСЬКИЙ АВІАЦІЙНИЙ ЗАВОД""","ДП ""ОДЕСЬКИЙ АВІАЦІЙНИЙ ЗАВОД""","https://youcontrol.com.ua/search/?q=7756801",403.5,10.6,"385.8",14.7,-4.1,"noStop","1998-04-23","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",-27.891156462585,"1",0,"red"
80,"2568182","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВСЕУКРАЇНСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ВИРОБНИЧИЙ ЦЕНТР СТАНДАРТИЗАЦІЇ, МЕТРОЛОГІЇ, СЕРТИФІКАЦІЇ ТА ЗАХИСТУ ПРАВ СПОЖИВАЧІВ""","ДП ""УКРМЕТРТЕСТСТАНДАРТ""","https://youcontrol.com.ua/search/?q=2568182",396.5,34.3,"318.4",33.1,1.2,"noStop","2003-11-25","72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук","NULL","-",3.62537764350452,"1",0,"green"
81,"130820","АКЦІОНЕРНЕ ТОВАРИСТВО ""ДНІПРОВСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ"" ( АТ ""ДНІПРОВСЬКА ТЕЦ"" )","АТ ""ДНІПРОВСЬКА ТЕЦ""","https://youcontrol.com.ua/search/?q=130820",395.3,0.4,"455.9",2.8,-2.4,"noStop","2001-10-05","35.11 Виробництво електроенергії","99.9","-",-85.7142857142857,"1",0,"red"
82,"14314452","КАЗЕННЕ ПІДПРИЄМСТВО ""ШОСТКИНСЬКИЙ КАЗЕННИЙ ЗАВОД ""ІМПУЛЬС""","ЗАВОД ""ІМПУЛЬС""","https://youcontrol.com.ua/search/?q=14314452",394.8,6,"532.4",5.7,0.3,"noStop","1998-10-23","20.51 Виробництво вибухових речовин","NULL","-",5.26315789473684,"1",0,"green"
